,compounds,mzs,shortRT,mz,ratios,gro,int,longRT,estC,SS,phenolics,acid,NN,aliph,CO,bs,ord,,,,,,,,,,,,
10.1021,,660.309,21.43372156,c(660.308956315431, 661.287822164989),c(1, 0.399277861049043),10,c(18210.1561875357, 7270.91221192824),37.08473458,35,0,3,0,0,0,0,1,1019,,,,,,,,,
10.1026,,662.198,21.43350551,c(662.198130068034, 663.206998836533),c(1, 0.468797404286049),10,c(10594.9556898149, 4966.88772591092),37.08321406,41,0,5,0,0,0,0,0,1024,,,,,,,,,
10.1051,,670.398,21.41930636,c(670.397918818539,671.4092167,672.4080063, 673.412625187563),c(1,0.330034337,0.816747354, 0.290525257845326),10,c(12178.0772782485,4019.183655,9946.412397, 3538.03904132345),36.98358382,29,0,1,1,0,0,0,1,1050,,,
10.1215,,744.426,21.4274075,c(744.425615846223, 745.433648200432),c(1, 0.590255513999004),10,c(6248.45823963892, 3688.18692993938),37.04035358,52,0,6,0,0,0,1,0,1215,,,,,,,,,
10.137,,828.449,21.47651592,c(828.448610006031, 829.457330883712),c(1, 0.377013604666323),10,c(18211.6654016538, 6852.23419109599),37.38865398,33,0,1,1,0,0,0,1,1370,,,,,,,,,
10.1417,,860.336,21.41976855,c(860.336243121567,861.3379202, 862.361861191718),c(1,0.699220753, 0.672222651970553),10,c(6253.49121480051,4375.390586, 4203.52600633136),36.98681745,61,0,8,0,0,0,1,0,1417,,,,,,
10.143,,870.39,21.42591515,c(870.389819255089, 871.418745598466),c(1, 0.715458226739229),10,c(6416.75186138936, 4596.72579181687),37.02988121,63,0,8,0,0,0,1,0,1430,,,,,,,,,
10.1521,,942.466,21.42688613,c(942.465677477638, 943.46503290046),c(1, 0.517741637624766),10,c(11767.5196717068, 6098.09149002399),37.03669419,45,0,3,0,0,0,0,1,1521,,,,,,,,,
10.1564,,972.495,21.47408395,c(972.494799021544, 973.497386398775),c(1, 0.485697380031858),10,c(43411.6169871351, 21084.908633598),37.37123599,43,0,2,0,0,0,0,1,1564,,,,,,,,,
10.1594,,1000.518,21.46429337,c(1000.51795210139, 1001.52962796231),c(1, 0.657342045849706),10,c(4342.33838871491, 2851.78245356844),37.30129419,58,0,9,0,0,0,1,0,1594,,,,,,,,,
10.1629,,1028.426,21.44299568,c(1028.42592331707,1029.399551, 1030.38769948712),c(1,0.585369966, 0.727489018321385),10,c(3922.79672606301,2296.287387, 2842.11800611674),37.15013561,51,0,4,0,0,0,0,1,1629,,,,,,
10.1684,,1076.533,21.40965432,c(1076.53314740456, 1077.54298681639),c(1, 0.385595571213888),10,c(5494.32094499961, 2117.32473612889),36.91619843,34,0,1,0,0,0,1,0,1684,,,,,,,,,
10.1736,,1120.573,21.46680336,c(1120.5726816386, 1121.57519429589),c(1, 0.550074763668044),10,c(20648.5765066641, 11357.4625524624),37.31919768,48,0,5,0,0,0,1,0,1736,,,,,,,,,
10.1756,,1136.572,21.45857955,c(1136.57160402175, 1137.57406539959),c(1, 0.55022237367739),10,c(18825.8779106793, 10361.4759950388),37.2606082,48,0,4,0,0,0,1,0,1756,,,,,,,,,
10.1799,,1176.563,21.44023986,c(1176.56340327005, 1177.56725047417),c(1, 0.688995170135037),10,c(5661.55903596658, 3909.63022092495),37.13067493,61,0,8,0,0,0,1,0,1799,,,,,,,,,
10.1838,,1220.62,21.42101616,c(1220.62032147075, 1221.62911315605),c(1, 0.646669294876382),10,c(5845.4023131485, 3786.81009932599),36.99554932,57,0,6,0,0,0,1,0,1838,,,,,,,,,
10.1846,,1228.587,21.45707788,c(1228.5867896, 1229.58279424979),c(1, 0.747547278091307),10,c(3413.4705411897, 2557.46726202817),37.24993154,66,0,9,0,0,0,1,0,1846,,,,,,,,,
10.1869,,1248.587,21.4304389,c(1248.58727203646, 1249.58242714122),c(1, 0.7187210252123),10,c(2304.94299708397, 1654.92454894819),37.06164637,63,0,8,0,0,0,1,0,1869,,,,,,,,,
10.1891,,1262.637,21.46516509,c(1262.6370367158,1263.641067, 1264.64491737282),c(1,0.761547445, 0.653836885791926),10,c(3682.11513680438,2800.485516, 2414.20445071642),37.30750995,67,0,8,0,0,0,1,0,1891,,,,,,
10.1912,,1282.632,21.43299955,c(1282.63210685207, 1283.63627225396),c(1, 0.719440007309892),10,c(5107.49112413988, 3676.67358974931),37.07965369,63,0,7,0,0,0,1,0,1912,,,,,,,,,
10.1921,,1292.612,21.43400614,c(1292.6115426364, 1293.61509650993),c(1, 0.779333216405383),10,c(3100.56118024532, 2425.38633789588),37.08673765,69,0,9,0,0,0,1,0,1921,,,,,,,,,
10.1963,,1350.656,21.44178271,c(1350.65612251883, 1351.62884882981),c(1, 0.808919692781805),10,c(1837.65522039027, 1489.87359077365),37.14156728,71,0,9,0,0,0,1,0,1963,,,,,,,,,
12.177,linolenic acid,278.225,23.05904431,c(278.224647649304, 279.229235876391),c(1, 0.207563076910587),12,c(463511.645327855, 96207.9032881384),53.10322019,18,0,0,1,0,0,1,0,157,,,,,,,,,
12.191,,286.252,23.05024123,c(286.25219809959, 287.255428024236),c(1, 0.196044682964528),12,c(15501.3725416654, 3038.96166544583),52.98797068,17,0,0,1,0,0,0,0,171,,,,,,,,,
12.213,,306.236,23.01948513,c(306.235814627491, 307.237468180852),c(1, 0.196397930148261),12,c(78079.302857906, 15332.6761219361),52.5880896,17,0,0,1,0,0,0,0,195,,,,,,,,,
12.226,,316.204,23.0027178,c(316.204186096433, 317.208515155024),c(1, 0.218677449184695),12,c(313167.524217791, 68482.6753634328),52.37189613,19,0,1,1,0,0,0,0,208,,,,,,,,,
12.294,,346.217,23.02133119,c(346.216737722273, 347.217909075815),c(1, 0.213955585901538),12,c(39882.0619840082, 8532.98993874995),52.61197005,19,0,1,1,0,0,0,0,276,,,,,,,,,
12.473,,426.154,23.08475198,c(426.15359993074, 427.168320418672),c(1, 0.35111769630959),12,c(19427.4651715009, 6821.3268161522),53.44181935,31,0,3,0,0,0,1,0,459,,,,,,,,,
12.499,,434.155,23.059906,c(434.154615699924,435.158505, 436.156397706075),c(1,0.361564385, 0.652891787521417),12,c(11019.6280407791,3984.305035, 7194.62464936537),53.11452049,32,0,3,0,0,0,1,0,485,,,,,,
12.561,,458.332,23.06966294,c(458.331882607604,459.3307947,460.3225295, 461.321934614177),c(1,0.246583121,0.27586347, 0.0988778828645502),12,c(44656.813314736,11011.61639,12319.18349, 4415.57115603855),53.2427114,21,0,0,1,0,0,0,1,550,,,
12.83,,575.343,23.09403008,c(575.342598340077, 576.348601824707),c(1, 0.289688219043858),12,c(13578.8435978493, 3933.63101853606),53.56476984,25,0,0,1,1,0,0,1,826,,,,,,,,,
12.943,,624.42,23.0219431,c(624.420363850772,625.4201353,626.407247, 627.420990881664),c(1,0.554879382,0.620112678, 0.244287528736338),12,c(11171.2086111891,6198.673326,6927.408091, 2728.98694462548),52.61988916,49,0,0,0,0,0,1,0,941,,,
